arm,eta,R_m,seed,C_realised,C_asymptotic,n_cells_total,mean_members,tour_len_m,T1_s,max_kappa_rho,solver,words,wall_s,schema_version,prov_id
bhh,0.0,94,1084,52,43.5605,52,48.077,5137.189,256.8595,,bhh,,,1,2ecafea49cc551ff
bhh,0.0,94,1085,52,43.5605,52,48.077,5137.189,256.8595,,bhh,,,1,2ecafea49cc551ff
bhh,0.0,94,1086,52,43.5605,52,48.077,5137.189,256.8595,,bhh,,,1,2ecafea49cc551ff
bhh,0.0,94,1087,52,43.5605,52,48.077,5137.189,256.8595,,bhh,,,1,2ecafea49cc551ff
bhh,0.0,94,1088,52,43.5605,52,48.077,5137.189,256.8595,,bhh,,,1,2ecafea49cc551ff
bhh,0.0,94,1089,52,43.5605,52,48.077,5137.189,256.8595,,bhh,,,1,2ecafea49cc551ff
bhh,0.0,94,1090,52,43.5605,52,48.077,5137.189,256.8595,,bhh,,,1,2ecafea49cc551ff
bhh,0.0,94,1091,52,43.5605,52,48.077,5137.189,256.8595,,bhh,,,1,2ecafea49cc551ff
bhh,0.0,94,1092,52,43.5605,52,48.077,5137.189,256.8595,,bhh,,,1,2ecafea49cc551ff
bhh,0.0,94,1093,52,43.5605,52,48.077,5137.189,256.8595,,bhh,,,1,2ecafea49cc551ff
bhh,0.0,94,1094,52,43.5605,52,48.077,5137.189,256.8595,,bhh,,,1,2ecafea49cc551ff
bhh,0.0,94,1095,52,43.5605,52,48.077,5137.189,256.8595,,bhh,,,1,2ecafea49cc551ff
bhh,0.0,94,1096,52,43.5605,52,48.077,5137.189,256.8595,,bhh,,,1,2ecafea49cc551ff
bhh,0.0,94,1097,52,43.5605,52,48.077,5137.189,256.8595,,bhh,,,1,2ecafea49cc551ff
bhh,0.0,94,1098,52,43.5605,52,48.077,5137.189,256.8595,,bhh,,,1,2ecafea49cc551ff
bhh,0.0,94,1099,52,43.5605,52,48.077,5137.189,256.8595,,bhh,,,1,2ecafea49cc551ff
